bucket,mae
supply_and_install|3_6_months|email|B16,35.91311530392227
supply_and_install|3_6_months|email|B17,139.54872469816294
supply_and_install|3_6_months|email|B25,132.31021189403018
supply_and_install|3_6_months|email|B28,170.01416523634626
supply_and_install|3_6_months|email|B5,336.1556131906983
supply_and_install|3_6_months|phone|B22,181.127864911041
supply_and_install|3_6_months|phone|B26,8.932639480176618
supply_and_install|3_6_months|referral|B11,47.629470974044835
supply_and_install|3_6_months|referral|B23,478.71280631135
supply_and_install|3_6_months|referral|B27,192.4691981689534
supply_and_install|3_6_months|showroom|B14,180.26647353976145
supply_and_install|3_6_months|showroom|B4,105.01639336306351
supply_and_install|3_6_months|social|B1,310.160787982485
supply_and_install|3_6_months|social|B2,140.18189288598984
supply_and_install|3_6_months|social|B25,242.4992419839938
supply_and_install|3_6_months|social|B30,96.72291814507318
supply_and_install|3_6_months|website|B26,180.95056906985747
supply_and_install|3_6_months|whatsapp|B10,20.807852932193583
supply_and_install|3_6_months|whatsapp|B16,164.76853406285812
supply_and_install|3_6_months|whatsapp|B18,195.9164624382761
supply_and_install|3_6_months|whatsapp|B24,200.39531706001804
supply_and_install|3_6_months|whatsapp|B5,578.4493936162212
supply_and_install|6_12_months|phone|B15,191.080685397798
supply_and_install|6_12_months|phone|B23,149.4662020882766
supply_and_install|6_12_months|referral|B5,21.255898163972745
supply_and_install|6_12_months|showroom|B13,38.623363473875855
supply_and_install|6_12_months|showroom|B21,182.68428136039716
supply_and_install|6_12_months|showroom|B29,145.31302642770305
supply_and_install|6_12_months|social|B29,90.65530568742756
supply_and_install|6_12_months|website|B27,183.2217441169586
supply_and_install|6_12_months|website|B28,173.9295283041106
supply_and_install|6_12_months|website|B6,191.43849153228953
supply_and_install|6_12_months|website|B7,254.51430294406276
supply_and_install|6_12_months|website|B8,181.50293332474982
supply_and_install|6_12_months|whatsapp|B13,433.9097001174056
supply_and_install|asap|email|B22,149.41183072912426
supply_and_install|asap|email|B23,108.13473365899641
supply_and_install|asap|email|B3,195.42097729226344
supply_and_install|asap|email|B4,175.09186045825612
supply_and_install|asap|phone|B1,420.8145538302032
supply_and_install|asap|phone|B23,149.63397352269587
supply_and_install|asap|phone|B9,65.32083346651385
supply_and_install|asap|referral|B21,38.993035437283936
supply_and_install|asap|referral|B30,82.1232276232835
supply_and_install|asap|showroom|B9,183.6314382514798
supply_and_install|asap|social|B19,835.8623138710793
supply_and_install|asap|whatsapp|B1,649.637507120198
supply_and_install|asap|whatsapp|B11,171.06652473160256
supply_and_install|asap|whatsapp|B27,52.74448041806488
supply_and_install|asap|whatsapp|B28,20.93962729910075
supply_only|3_6_months|email|B11,217.19555897048113
supply_only|3_6_months|email|B2,31.292857644595642
supply_only|3_6_months|email|B7,738.4395598779081
supply_only|3_6_months|referral|B12,186.8520161837793
supply_only|3_6_months|referral|B26,218.82921621494046
supply_only|3_6_months|showroom|B11,196.35264803611156
supply_only|3_6_months|showroom|B3,208.3849248976103
supply_only|3_6_months|social|B24,171.16566009377055
supply_only|3_6_months|website|B17,195.18930292971476
supply_only|3_6_months|website|B23,240.74830583169788
supply_only|3_6_months|whatsapp|B1,185.53298531410283
supply_only|6_12_months|email|B1,324.4508462055161
supply_only|6_12_months|email|B19,148.93321581429396
supply_only|6_12_months|email|B26,42.6131807700462
supply_only|6_12_months|email|B8,181.69238770244522
supply_only|6_12_months|phone|B15,176.31960056395343
supply_only|6_12_months|referral|B10,148.67581178030974
supply_only|6_12_months|referral|B3,2.85186879952343
supply_only|6_12_months|referral|B30,77.16893152394542
supply_only|6_12_months|showroom|B14,5.309363878052665
supply_only|6_12_months|showroom|B28,31.43401533220637
supply_only|6_12_months|social|B12,229.9131408507792
supply_only|6_12_months|social|B18,177.73749344422035
supply_only|6_12_months|social|B20,177.9838949028329
supply_only|6_12_months|social|B24,126.46903747591541
supply_only|6_12_months|website|B10,191.1079281701572
supply_only|6_12_months|website|B27,144.45205798904732
supply_only|6_12_months|website|B30,191.2447493452357
supply_only|asap|email|B12,22.122688912373775
supply_only|asap|email|B9,228.24151055674994
supply_only|asap|phone|B19,114.41614025860508
supply_only|asap|referral|B13,184.58154686991406
supply_only|asap|referral|B18,190.04565397870326
supply_only|asap|showroom|B1,401.1817611691639
supply_only|asap|showroom|B21,105.82669073119553
supply_only|asap|showroom|B4,0.2607304340163239
supply_only|asap|social|B15,200.38052501159154
supply_only|asap|social|B21,170.22757075343816
supply_only|asap|website|B13,89.04329732872813
supply_only|asap|website|B18,192.37398369490344
supply_only|asap|website|B29,1211.2730538530298
supply_only|asap|website|B4,53.255726269093884
supply_only|asap|whatsapp|B21,187.2726847444538
supply_only|asap|whatsapp|B25,193.31100194711706
supply_only|asap|whatsapp|B27,187.7991242593412
